,commodity_desc,state_alpha,statisticcat_desc,util_practice_desc,unit_desc,state_alpha,freq_desc,year,reference_period_desc,Value
0,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2020,FIRST OF MAR,993613000
1,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2020,FIRST OF JUN,571963000
2,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2020,FIRST OF SEP,238918000
3,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2019,FIRST OF MAR,1006439000
4,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2019,FIRST OF JUN,571797000
5,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2019,FIRST OF SEP,239290000
6,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2019,FIRST OF DEC,1477877000
7,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2018,FIRST OF MAR,957323000
8,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2018,FIRST OF JUN,551436000
9,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2018,FIRST OF SEP,210075000
10,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2018,FIRST OF DEC,1449411000
11,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2017,FIRST OF MAR,1001962000
12,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2017,FIRST OF JUN,577082000
13,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2017,FIRST OF SEP,257789000
14,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2017,FIRST OF DEC,1460631000
15,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2016,FIRST OF MAR,956028000
16,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2016,FIRST OF JUN,539685000
17,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2016,FIRST OF SEP,216429000
18,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2016,FIRST OF DEC,1420918000
19,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2015,FIRST OF MAR,823875000
20,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2015,FIRST OF JUN,456791000
21,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2015,FIRST OF SEP,182350000
22,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2015,FIRST OF DEC,1388938000
23,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2014,FIRST OF MAR,808902000
24,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2014,FIRST OF JUN,444202000
25,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2014,FIRST OF SEP,141295000
26,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2014,FIRST OF DEC,1289710000
27,CORN,NE,STOCKS,GRAIN,BU,NE,POINT IN TIME,2013,FIRST OF MAR,587555000
