date,stock_report
2020-03-01,993613000
2020-06-01,571963000
2020-09-01,238918000
2019-03-01,1006439000
2019-06-01,571797000
2019-09-01,239290000
2019-12-01,1477877000
2018-03-01,957323000
2018-06-01,551436000
2018-09-01,210075000
2018-12-01,1449411000
2017-03-01,1001962000
2017-06-01,577082000
2017-09-01,257789000
2017-12-01,1460631000
2016-03-01,956028000
2016-06-01,539685000
2016-09-01,216429000
2016-12-01,1420918000
2015-03-01,823875000
2015-06-01,456791000
2015-09-01,182350000
2015-12-01,1388938000
2014-03-01,808902000
2014-06-01,444202000
2014-09-01,141295000
2014-12-01,1289710000
2013-03-01,587555000
2013-06-01,300310000
2013-09-01,79386000
2013-12-01,1250700000
2012-03-01,686532000
2012-06-01,355197000
2012-09-01,93881000
2012-12-01,957356000
2011-03-01,765814000
2011-06-01,435074000
2011-09-01,119167000
2011-12-01,1165630000
2010-03-01,906390000
2010-06-01,520565000
2010-09-01,211233000
2010-12-01,1196320000
2009-03-01,808288000
2009-06-01,486033000
2009-09-01,196454000
2009-12-01,1340288000
2008-03-01,766772000
2008-06-01,395182000
2008-09-01,166514000
2008-12-01,1186700000
2007-03-01,641568000
2007-06-01,368516000
2007-09-01,154515000
2007-12-01,1195152000
2006-03-01,806280000
2006-06-01,500781000
2006-09-01,239213000
2006-12-01,1004988000
2005-03-01,821122000
2005-06-01,511217000
2005-09-01,280286000
2005-12-01,1183541000
2004-03-01,648219000
2004-06-01,341955000
2004-09-01,114601000
2004-12-01,1121124000
2003-03-01,595547000
2003-06-01,357495000
2003-09-01,154220000
2003-12-01,967438000
2002-03-01,707176000
2002-06-01,421470000
2002-09-01,231258000
2002-12-01,855944000
2001-03-01,686714000
2001-06-01,444500000
2001-09-01,256266000
2001-12-01,1040485000
2000-03-01,689660000
2000-06-01,437336000
2000-09-01,230059000
2000-12-01,966809000
