date,beginning_stocks,production,ending_stocks
2020-09-01T00:00:00,2253,14900,2503
2020-08-01T00:00:00,2228,15278,2756
2020-07-01T00:00:00,2248,15000,2648
2020-06-01T00:00:00,2103,15995,3323
2020-05-01T00:00:00,2098,15995,3318
2020-04-01T00:00:00,2221,13692,2092
2020-03-01T00:00:00,2221,13692,1892
2020-02-01T00:00:00,2221,13692,1892
2020-01-01T00:00:00,2221,13692,1892
2019-12-01T00:00:00,2114,13661,1910
2019-11-01T00:00:00,2114,13661,1910
2019-10-01T00:00:00,2114,13779,1929
2019-09-01T00:00:00,2445,13799,2190
2019-08-01T00:00:00,2360,13901,2181
2019-07-01T00:00:00,2340,13875,2010
2019-06-01T00:00:00,2195,13680,1675
2019-05-01T00:00:00,2095,15030,2485
2019-04-01T00:00:00,2140,14420,2035
2019-03-01T00:00:00,2140,14420,1835
2019-02-01T00:00:00,2140,14420,1735
2018-12-01T00:00:00,2140,14626,1781
2018-12-01T00:00:00,2140,14626,1781
2018-11-01T00:00:00,2140,14626,1736
2018-10-01T00:00:00,2140,14778,1813
2018-09-01T00:00:00,2002,14827,1774
2018-08-01T00:00:00,2027,14586,1684
2018-07-01T00:00:00,2027,14230,1552
2018-06-01T00:00:00,2102,14040,1577
2018-05-01T00:00:00,2182,14040,1682
2018-04-01T00:00:00,2293,14604,2182
2018-03-01T00:00:00,2293,14604,2127
2018-02-01T00:00:00,2293,14604,2352
2018-01-01T00:00:00,2293,14604,2477
2017-12-01T00:00:00,2295,14578,2437
2017-11-01T00:00:00,2295,14578,2487
2017-10-01T00:00:00,2295,14280,2340
2017-09-01T00:00:00,2350,14184,2335
2017-08-01T00:00:00,2370,14153,2273
2017-07-01T00:00:00,2370,14255,2325
2017-06-01T00:00:00,2295,14065,2110
2017-05-01T00:00:00,2295,14065,2110
2017-04-01T00:00:00,1737,15148,2320
2017-03-01T00:00:00,1737,15148,2320
2017-02-01T00:00:00,1737,15148,2320
2017-01-01T00:00:00,1737,15148,2355
2016-12-01T00:00:00,1738,15226,2403
2016-11-01T00:00:00,1738,15226,2403
2016-10-01T00:00:00,1738,15057,2320
2016-09-01T00:00:00,1716,15093,2384
2016-08-01T00:00:00,1706,15153,2409
2016-07-01T00:00:00,1701,14540,2081
2016-06-01T00:00:00,1708,14430,2008
2016-05-01T00:00:00,1803,14430,2153
2016-04-01T00:00:00,1731,13601,1862
2016-03-01T00:00:00,1731,13601,1837
2016-02-01T00:00:00,1731,13601,1837
2016-01-01T00:00:00,1731,13601,1802
2015-12-01T00:00:00,1731,13654,1785
2015-11-01T00:00:00,1731,13654,1760
2015-10-01T00:00:00,1731,13555,1561
2015-09-01T00:00:00,1732,13585,1592
2015-08-01T00:00:00,1772,13686,1713
2015-07-01T00:00:00,1779,13530,1599
2015-04-01T00:00:00,1232,14216,1827
2015-03-01T00:00:00,1232,14216,1777
2015-02-01T00:00:00,1232,14216,1827
2015-01-01T00:00:00,1232,14216,1877
2014-12-01T00:00:00,1236,14407,1998
2014-11-01T00:00:00,1236,14407,2008
2014-10-01T00:00:00,1236,14475,2081
2014-09-01T00:00:00,1181,14395,2002
2014-08-01T00:00:00,1181,14032,1808
2014-07-01T00:00:00,1246,13860,1801
2014-06-01T00:00:00,1146,13935,1726
2014-05-01T00:00:00,1146,13935,1726
2014-04-01T00:00:00,821,13925,1331
2014-03-01T00:00:00,821,13925,1456
2014-02-01T00:00:00,821,13925,1481
2014-02-01T00:00:00,821,13925,1481
2014-01-01T00:00:00,821,13925,1631
2013-12-01T00:00:00,824,13989,1792
2013-11-01T00:00:00,824,13989,1887
2013-09-01T00:00:00,661,13843,1855
2013-08-01T00:00:00,719,13763,1837
2013-07-01T00:00:00,729,13950,1959
2013-06-01T00:00:00,769,14005,1949
2013-05-01T00:00:00,759,14140,2004
2013-04-01T00:00:00,989,10780,757
2013-03-01T00:00:00,989,10780,632
2013-02-01T00:00:00,989,10780,632
2013-01-01T00:00:00,989,10780,602
2012-12-01T00:00:00,988,10725,647
2012-11-01T00:00:00,988,10725,647
2012-10-01T00:00:00,988,10706,619
2012-09-01T00:00:00,1181,10727,733
2012-08-01T00:00:00,1021,10779,650
2012-07-01T00:00:00,903,12970,1183
2012-06-01T00:00:00,851,14790,1881
2012-05-01T00:00:00,851,14790,1881
2012-04-01T00:00:00,1128,12358,801
2012-03-01T00:00:00,1128,12358,801
2012-02-01T00:00:00,1128,12358,801
2012-01-01T00:00:00,1128,12358,846
2011-12-01T00:00:00,1128,12310,848
2011-11-01T00:00:00,1128,12310,843
2011-10-01T00:00:00,1128,12433,866
2011-09-01T00:00:00,920,12497,672
2011-08-01T00:00:00,940,12914,714
2011-07-01T00:00:00,880,13470,870
2011-06-01T00:00:00,730,13200,695
2011-05-01T00:00:00,730,13505,900
2011-04-01T00:00:00,1708,12447,675
2011-03-01T00:00:00,1708,12447,675
2011-02-01T00:00:00,1708,12447,675
2011-01-01T00:00:00,1708,12447,745
2011-01-01T00:00:00,1708,12447,745
2010-12-01T00:00:00,1708,12540,832
2010-11-01T00:00:00,1708,12540,827
2010-10-01T00:00:00,1708,12664,902
2010-09-01T00:00:00,1386,13160,1116
2010-08-01T00:00:00,1426,13365,1312
2010-07-01T00:00:00,1478,13245,1373
