commodity,sub_commodity,location,stat,unit,frequency,year,period,value
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2000,YEAR,23166000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2000,YEAR,10725000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2001,YEAR,37718000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2001,YEAR,16050000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2002,YEAR,43085000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2002,YEAR,15840000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2003,YEAR,54705000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2003,YEAR,23180000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2004,YEAR,59483000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2004,YEAR,23985000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2005,YEAR,59500000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2005,YEAR,23800000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2006,YEAR,34571000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2006,YEAR,11880000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2007,YEAR,99154000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2007,YEAR,21840000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2008,YEAR,128554000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2008,YEAR,24440000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2009,YEAR,105030000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2009,YEAR,27000000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2010,YEAR,145763000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2010,YEAR,28750000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2011,YEAR,180120000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2011,YEAR,28500000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2012,YEAR,207574000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2012,YEAR,28910000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2012,YEAR - AUG FORECAST,22100000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2012,YEAR - NOV FORECAST,28350000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2012,YEAR - OCT FORECAST,27000000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2012,YEAR - SEP FORECAST,26000000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2013,YEAR,204249000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2013,YEAR,43365000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2013,YEAR - AUG FORECAST,40600000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2013,YEAR - NOV FORECAST,45000000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2013,YEAR - SEP FORECAST,40600000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2014,YEAR,169931000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2014,YEAR,45315000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2014,YEAR - AUG FORECAST,46935000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2014,YEAR - NOV FORECAST,46020000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2014,YEAR - OCT FORECAST,45725000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2014,YEAR - SEP FORECAST,46935000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2015,YEAR,134696000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2015,YEAR,36015000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2015,YEAR - AUG FORECAST,35880000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2015,YEAR - NOV FORECAST,33600000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2015,YEAR - OCT FORECAST,33360000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2015,YEAR - SEP FORECAST,34580000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2016,YEAR,137214000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2016,YEAR,37800000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2016,YEAR - AUG FORECAST,40300000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2016,YEAR - NOV FORECAST,39040000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2016,YEAR - OCT FORECAST,39680000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2016,YEAR - SEP FORECAST,38440000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2017,YEAR,158550000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2017,YEAR,39245000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2017,YEAR - AUG FORECAST,38775000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2017,YEAR - NOV FORECAST,38775000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2017,YEAR - OCT FORECAST,39950000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2017,YEAR - SEP FORECAST,39245000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2018,YEAR,157084000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2018,YEAR,38220000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2018,YEAR - AUG FORECAST,39950000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2018,YEAR - NOV FORECAST,41360000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2018,YEAR - OCT FORECAST,41360000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2018,YEAR - SEP FORECAST,40655000
CORN,GRAIN,AL,PRODUCTION,$,ANNUAL,2019,YEAR,188307000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2019,YEAR,44835000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2019,YEAR - AUG FORECAST,49105000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2019,YEAR - NOV FORECAST,47580000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2019,YEAR - OCT FORECAST,46055000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2019,YEAR - SEP FORECAST,49105000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2020,YEAR,53950000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2020,YEAR - AUG FORECAST,58575000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2020,YEAR - OCT FORECAST,53950000
CORN,GRAIN,AL,PRODUCTION,BU,ANNUAL,2020,YEAR - SEP FORECAST,57865000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2000,YEAR,39813000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2000,YEAR,22750000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2001,YEAR,54187000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2001,YEAR,26825000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2002,YEAR,83033000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2002,YEAR,34170000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2003,YEAR,116130000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2003,YEAR,49000000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2004,YEAR,102053000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2004,YEAR,42700000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2005,YEAR,64780000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2005,YEAR,30130000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2006,YEAR,71744000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2006,YEAR,26280000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2007,YEAR,378898000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2007,YEAR,99710000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2008,YEAR,288891000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2008,YEAR,65360000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2009,YEAR,229977000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2009,YEAR,60680000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2010,YEAR,259350000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2010,YEAR,57000000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2011,YEAR,459716000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2011,YEAR,73320000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2012,YEAR,842465000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2012,YEAR,123710000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2012,YEAR - AUG FORECAST,102400000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2012,YEAR - NOV FORECAST,122130000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2012,YEAR - OCT FORECAST,122130000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2012,YEAR - SEP FORECAST,112000000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2013,YEAR,828518000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2013,YEAR,161820000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2013,YEAR - AUG FORECAST,164900000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2013,YEAR - NOV FORECAST,155610000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2013,YEAR - SEP FORECAST,169750000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2014,YEAR,409324000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2014,YEAR,99110000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2014,YEAR - AUG FORECAST,102600000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2014,YEAR - NOV FORECAST,104500000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2014,YEAR - OCT FORECAST,103400000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2014,YEAR - SEP FORECAST,104880000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2015,YEAR,331040000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2015,YEAR,80545000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2015,YEAR - AUG FORECAST,91650000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2015,YEAR - NOV FORECAST,80910000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2015,YEAR - OCT FORECAST,80040000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2015,YEAR - SEP FORECAST,88360000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2016,YEAR,470088000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2016,YEAR,127395000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2016,YEAR - AUG FORECAST,138915000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2016,YEAR - NOV FORECAST,132610000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2016,YEAR - OCT FORECAST,132610000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2016,YEAR - SEP FORECAST,135240000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2017,YEAR,396341000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2017,YEAR,108885000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2017,YEAR - AUG FORECAST,121030000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2017,YEAR - NOV FORECAST,106505000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2017,YEAR - OCT FORECAST,106505000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2017,YEAR - SEP FORECAST,121030000
CORN,GRAIN,AR,PRODUCTION,$,ANNUAL,2018,YEAR,443631000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2018,YEAR,116745000
CORN,GRAIN,AR,PRODUCTION,BU,ANNUAL,2018,YEAR - AUG FORECAST,116480000
