commodity,sub_commodity,location,stat,unit,frequency,year,period,value
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2000,FIRST OF MAR,4195000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2000,FIRST OF JUN,4580000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2000,FIRST OF SEP,1524000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2000,FIRST OF DEC,5541000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2001,FIRST OF MAR,3917000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2001,FIRST OF JUN,3046000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2001,FIRST OF SEP,1715000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2001,FIRST OF DEC,5377000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2002,FIRST OF MAR,4723000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2002,FIRST OF JUN,3293000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2002,FIRST OF SEP,1774000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2002,FIRST OF DEC,5259000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2003,FIRST OF MAR,4918000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2003,FIRST OF JUN,3696000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2003,FIRST OF SEP,3047000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2003,FIRST OF DEC,4305000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2004,FIRST OF MAR,4274000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2004,FIRST OF JUN,3745000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2004,FIRST OF SEP,2245000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2004,FIRST OF DEC,4297000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2005,FIRST OF MAR,4530000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2005,FIRST OF JUN,3544000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2005,FIRST OF SEP,2671000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2005,FIRST OF DEC,4472000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2006,FIRST OF MAR,4991000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2006,FIRST OF JUN,3459000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2006,FIRST OF SEP,1247000
CORN,"OFF FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2006,FIRST OF DEC,4090000
