commodity,sub_commodity,location,stat,unit,frequency,year,period,value
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2008,FIRST OF DEC,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2009,FIRST OF MAR,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2009,FIRST OF JUN,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2009,FIRST OF SEP,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2009,FIRST OF DEC,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2010,FIRST OF MAR,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2010,FIRST OF JUN,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2010,FIRST OF SEP,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2010,FIRST OF DEC,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2011,FIRST OF MAR,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2011,FIRST OF JUN,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2011,FIRST OF SEP,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2011,FIRST OF DEC,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2012,FIRST OF MAR,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2012,FIRST OF JUN,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2012,FIRST OF SEP,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2012,FIRST OF DEC,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2013,FIRST OF MAR,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2013,FIRST OF JUN,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2013,FIRST OF SEP,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2013,FIRST OF DEC,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2014,FIRST OF MAR,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2014,FIRST OF JUN,
CORN,"ON FARM, GRAIN",AL,STOCKS,BU,POINT IN TIME,2014,FIRST OF SEP,
