"Date","Time","Open","High","Low","Close","Vol","OI"
10/26/2000,13:20,214.500,215.000,213.500,213.750,5381,115526
10/27/2000,13:20,213.250,214.750,212.250,212.500,10450,117143
10/30/2000,13:20,212.250,213.000,211.750,212.000,9918,120182
10/31/2000,13:20,211.750,218.500,211.250,217.500,20871,127643
11/01/2000,13:20,216.500,221.000,216.500,217.500,20772,131751
11/02/2000,13:20,222.250,224.250,221.750,223.500,13193,139685
11/03/2000,13:20,223.750,225.000,223.000,224.500,22100,137049
11/06/2000,13:20,225.250,227.500,224.750,225.250,23608,146989
11/07/2000,13:20,225.250,227.000,224.000,226.750,16654,154259
11/08/2000,13:20,227.500,228.500,226.500,227.750,12665,150228
11/09/2000,13:20,227.000,227.000,224.500,225.500,18797,157788
11/10/2000,13:20,225.000,225.500,223.000,224.250,18534,163332
11/13/2000,13:20,223.500,224.000,222.500,223.250,11782,167567
11/14/2000,13:20,223.750,223.750,220.000,221.000,16420,175075
11/15/2000,13:20,220.750,221.250,219.500,219.750,23314,181676
11/16/2000,13:20,219.000,221.750,218.250,221.000,20139,186867
11/17/2000,13:20,223.000,224.750,222.500,223.500,26315,195294
11/20/2000,13:20,224.500,225.500,223.000,223.250,33332,204087
11/21/2000,13:20,221.750,223.250,221.750,223.250,30654,210777
11/22/2000,13:20,223.250,223.500,222.250,222.500,30330,210860
11/24/2000,13:20,223.000,224.500,222.750,223.250,18698,215267
11/27/2000,13:20,224.250,224.500,222.500,222.750,33225,224075
11/28/2000,13:20,222.250,222.250,219.500,220.250,60535,233833
11/29/2000,13:20,219.500,220.000,217.250,217.500,60203,233872
11/30/2000,13:20,216.250,221.250,216.250,220.500,62703,246550
12/01/2000,13:20,220.000,222.250,218.000,221.500,41723,247096
12/04/2000,13:20,220.500,221.500,219.250,220.250,31676,246920
12/06/2000,13:20,219.750,220.000,218.500,218.750,28291,245684
12/07/2000,13:20,218.500,220.000,214.250,214.750,74590,252616
12/08/2000,13:20,214.500,219.500,214.250,218.750,43725,244567
12/11/2000,13:20,216.750,217.500,216.500,217.000,30647,241865
12/12/2000,13:20,216.750,216.750,215.750,216.250,26955,240050
12/13/2000,13:20,216.250,218.000,215.500,217.500,23902,239334
12/14/2000,13:20,219.000,220.500,218.250,218.500,35952,241840
12/15/2000,13:20,219.500,220.250,218.000,218.250,27356,238016
12/18/2000,13:20,220.250,223.500,220.250,223.250,44392,233898
12/19/2000,13:20,223.000,226.000,222.000,225.750,39604,232653
12/20/2000,13:20,225.500,227.000,224.250,225.000,32449,233562
12/21/2000,13:20,224.250,226.500,223.750,226.250,25345,230468
12/22/2000,13:20,227.000,227.500,226.250,226.750,24869,230706
12/26/2000,13:20,226.750,227.250,226.000,226.750,15562,230490
12/27/2000,13:20,226.000,229.500,224.500,228.750,34376,231750
12/28/2000,13:20,229.750,232.000,229.250,230.250,69804,244141
12/29/2000,13:20,229.500,232.000,229.000,231.750,31420,245464
01/02/2001,13:20,232.000,232.000,226.750,227.250,41489,247644
01/03/2001,13:20,226.750,230.750,226.500,230.000,39556,250584
01/04/2001,13:20,230.000,230.250,228.250,230.000,36393,247591
01/05/2001,13:20,229.000,229.250,225.000,226.000,49035,244074
01/08/2001,13:20,225.000,226.000,224.000,225.750,35106,239810
01/09/2001,13:20,225.500,228.500,225.250,227.500,24264,237247
01/10/2001,13:20,228.750,230.000,227.250,229.500,37234,234135
01/11/2001,13:20,222.500,225.000,222.000,222.500,69821,235706
01/12/2001,13:20,222.000,222.250,218.250,219.250,68898,235692
01/16/2001,13:20,217.000,218.500,215.250,216.250,88655,218677
01/17/2001,13:20,215.750,218.000,215.750,217.500,55807,214807
01/18/2001,13:20,218.500,220.000,217.750,218.000,35588,212746
01/19/2001,13:20,218.500,218.500,214.750,215.000,44919,211162
01/22/2001,13:20,213.750,215.500,212.750,215.250,50633,208551
01/23/2001,13:20,215.750,216.000,213.750,214.000,34263,201397
01/24/2001,13:20,214.000,216.750,213.250,215.500,38402,201307
01/25/2001,13:20,215.750,215.750,213.250,213.500,26767,198833
01/26/2001,13:20,213.000,213.000,209.250,209.500,26497,198688
01/29/2001,13:20,206.500,209.000,206.500,208.250,49333,197028
01/30/2001,13:20,209.000,210.750,208.500,209.250,29449,194583
01/31/2001,13:20,208.500,210.000,207.500,209.000,27733,189532
02/01/2001,13:20,209.250,212.250,209.000,211.000,27130,189566
02/02/2001,13:20,211.000,213.500,210.500,213.000,25991,184730
02/05/2001,13:20,213.000,213.000,211.000,212.000,21320,183962
02/06/2001,13:20,211.000,214.500,210.000,213.500,26344,181887
02/07/2001,13:20,213.750,214.750,212.000,212.250,26892,180150
02/08/2001,13:20,209.250,210.500,209.250,210.000,26226,177370
