Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020,FIRST OF MAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"993,613,000",
SURVEY,2020,FIRST OF JUN,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"571,963,000",
SURVEY,2020,FIRST OF SEP,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"238,918,000",
SURVEY,2019,FIRST OF MAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,006,439,000",
SURVEY,2019,FIRST OF JUN,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"571,797,000",
SURVEY,2019,FIRST OF SEP,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"239,290,000",
SURVEY,2019,FIRST OF DEC,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,477,877,000",
SURVEY,2018,FIRST OF MAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"957,323,000",
SURVEY,2018,FIRST OF JUN,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"551,436,000",
SURVEY,2018,FIRST OF SEP,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"210,075,000",
SURVEY,2018,FIRST OF DEC,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,449,411,000",
SURVEY,2017,FIRST OF MAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,001,962,000",
SURVEY,2017,FIRST OF JUN,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"577,082,000",
SURVEY,2017,FIRST OF SEP,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"257,789,000",
SURVEY,2017,FIRST OF DEC,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,460,631,000",
SURVEY,2016,FIRST OF MAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"956,028,000",
SURVEY,2016,FIRST OF JUN,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"539,685,000",
SURVEY,2016,FIRST OF SEP,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"216,429,000",
SURVEY,2016,FIRST OF DEC,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,420,918,000",
SURVEY,2015,FIRST OF MAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"823,875,000",
SURVEY,2015,FIRST OF JUN,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"456,791,000",
SURVEY,2015,FIRST OF SEP,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"182,350,000",
SURVEY,2015,FIRST OF DEC,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,388,938,000",
SURVEY,2014,FIRST OF MAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"808,902,000",
SURVEY,2014,FIRST OF JUN,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - STOCKS, MEASURED IN BU",TOTAL,NOT SPECIFIED,"444,202,000",
