"Date","Time","Open","High","Low","Close","Vol","OI"
10/26/2000,13:20,509.000,510.500,503.750,503.750,1626,5646
10/27/2000,13:20,505.000,507.000,500.500,500.500,791,5813
10/30/2000,13:20,503.000,504.000,500.000,502.750,512,5906
10/31/2000,13:20,503.500,507.000,501.500,504.000,548,5957
11/01/2000,13:20,504.500,508.000,502.750,505.000,885,6201
11/02/2000,13:20,510.000,514.500,510.000,513.000,564,6449
11/03/2000,13:20,514.500,515.500,513.500,515.000,333,6233
11/06/2000,13:20,519.000,520.000,515.750,515.750,95,6227
11/07/2000,13:20,516.000,517.750,514.750,516.000,220,6299
11/08/2000,13:20,518.500,518.500,515.750,516.500,352,6493
11/09/2000,13:20,514.000,514.000,508.500,509.500,167,6618
11/10/2000,13:20,509.000,510.000,502.500,503.250,309,6795
11/13/2000,13:20,503.500,504.500,500.750,503.250,254,6847
11/14/2000,13:20,506.500,507.000,504.750,505.000,499,6875
11/15/2000,13:20,506.500,513.000,506.500,510.750,324,6900
11/16/2000,13:20,508.000,510.000,506.250,507.500,141,6972
11/17/2000,13:20,512.000,519.000,512.000,517.500,269,6913
11/20/2000,13:20,521.000,524.000,518.500,519.000,504,6820
11/21/2000,13:20,518.000,528.500,515.500,516.500,66,6797
11/22/2000,13:20,518.000,521.000,518.000,520.250,269,6820
11/24/2000,13:20,524.000,530.000,524.000,529.500,431,6584
11/27/2000,13:20,535.500,535.500,526.000,526.500,831,6160
11/28/2000,13:20,525.500,531.000,525.000,529.250,528,6239
11/29/2000,13:20,533.000,534.500,525.000,527.250,3043,6645
11/30/2000,13:20,530.000,530.000,521.500,527.000,2255,7644
12/01/2000,13:20,525.500,529.000,524.500,528.000,278,7641
12/04/2000,13:20,526.500,531.500,523.500,525.000,1644,8298
12/05/2000,13:20,521.500,524.500,520.500,523.500,794,8614
12/06/2000,13:20,523.500,528.500,523.000,527.750,749,8949
12/07/2000,13:20,532.000,532.000,523.500,523.500,482,9069
12/08/2000,13:20,523.250,529.000,523.250,528.750,539,9135
12/11/2000,13:20,526.750,529.000,525.500,525.500,555,9373
12/12/2000,13:20,525.500,528.500,522.000,522.000,1117,9863
12/13/2000,13:20,522.000,527.000,522.000,522.750,869,10263
12/14/2000,13:20,526.500,526.500,522.000,522.250,360,10207
12/15/2000,13:20,522.500,526.500,522.500,524.500,382,10401
12/18/2000,13:20,528.000,529.000,527.000,527.500,706,10543
12/19/2000,13:20,526.500,528.500,525.000,528.250,672,10587
12/20/2000,13:20,526.750,527.500,523.000,525.250,699,10779
12/21/2000,13:20,524.000,526.500,523.000,526.250,823,10831
12/22/2000,13:20,528.000,528.000,523.500,523.500,671,11126
12/26/2000,13:20,525.000,525.500,522.750,523.250,498,11214
12/27/2000,13:20,519.000,529.000,516.000,518.500,1172,11584
12/28/2000,13:20,520.000,520.000,514.000,514.500,1082,12013
12/29/2000,13:20,517.000,517.500,514.500,517.000,937,11965
01/02/2001,13:20,516.500,516.500,512.000,513.250,694,11997
01/03/2001,13:20,512.000,515.500,507.500,514.500,2239,12418
01/04/2001,13:20,513.500,515.000,508.250,509.250,1128,12583
01/05/2001,13:20,507.500,509.000,505.750,506.250,1980,13244
01/08/2001,13:20,505.000,508.500,503.500,507.250,2030,13771
01/09/2001,13:20,507.500,511.500,507.500,510.250,854,14049
01/10/2001,13:20,509.500,510.250,505.000,506.750,1400,14163
01/11/2001,13:20,501.000,504.000,496.000,496.500,4501,15102
01/12/2001,13:20,496.000,497.000,489.250,492.250,2845,15680
01/16/2001,13:20,490.500,500.500,485.500,485.750,2241,16277
01/17/2001,13:20,485.000,488.250,483.000,483.750,2867,17166
01/18/2001,13:20,484.500,488.750,484.250,485.750,2258,17321
01/19/2001,13:20,487.500,487.500,480.250,480.750,3249,18009
01/22/2001,13:20,481.000,488.000,478.500,487.500,1471,18122
01/23/2001,13:20,487.000,487.500,478.500,479.750,2420,18406
01/24/2001,13:20,480.000,483.250,479.500,481.750,3349,19451
01/25/2001,13:20,482.500,483.500,478.000,479.500,1471,18110
01/26/2001,13:20,480.000,480.500,471.000,472.000,2809,19533
01/29/2001,13:20,471.000,471.750,469.000,470.250,1235,19927
01/30/2001,13:20,472.000,474.000,472.000,473.250,1045,20167
01/31/2001,13:20,473.500,475.500,472.500,475.250,1811,20630
02/01/2001,13:20,475.000,482.000,474.250,480.750,3052,19672
02/02/2001,13:20,482.000,484.500,481.000,484.000,1880,19560
02/05/2001,13:20,484.000,484.500,477.000,478.250,2260,19664
02/06/2001,13:20,477.000,481.500,477.000,479.500,1340,19661
02/07/2001,13:20,480.500,481.000,476.000,477.250,1225,19747
02/08/2001,13:20,470.000,470.000,465.000,465.250,4255,20554
02/09/2001,13:20,465.000,466.750,462.000,465.750,2503,20529
02/12/2001,13:20,465.500,468.750,462.500,463.000,2049,20503
02/13/2001,13:20,463.000,465.000,460.500,460.500,2231,20661
02/14/2001,13:20,462.000,463.500,460.750,461.500,1711,20536
