Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,240,000,000",
SURVEY,2020,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,362,200,000",
SURVEY,2020,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,838,210,000",
SURVEY,2019,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,846,200,000",
SURVEY,2019,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,583,900,000",
SURVEY,2019,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,785,420,000",
SURVEY,2018,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,268,000,000",
SURVEY,2018,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,499,000,000",
SURVEY,2018,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,785,600,000",
SURVEY,2017,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,200,950,000",
