"Date","Time","Open","High","Low","Close","Vol","OI"
10/26/2000,13:20,312.000,313.500,312.000,313.000,81,2021
10/27/2000,13:20,314.500,316.500,314.500,315.500,148,2117
10/30/2000,13:20,314.500,315.000,311.500,312.250,48,2145
10/31/2000,13:20,310.000,314.000,310.000,312.250,134,2269
11/01/2000,13:20,312.000,313.000,311.750,311.750,99,2303
11/02/2000,13:20,314.000,316.500,314.000,316.500,59,2313
11/03/2000,13:20,318.000,321.500,318.000,321.500,31,2343
11/06/2000,13:20,322.000,322.500,319.750,320.000,14,2344
11/07/2000,13:20,319.000,320.000,318.000,320.000,10,2352
11/08/2000,13:20,320.000,323.000,320.000,322.500,45,2376
11/09/2000,13:20,320.500,321.000,317.000,317.000,30,2389
11/10/2000,13:20,314.000,316.500,314.000,316.000,31,2395
11/13/2000,13:20,316.250,318.000,316.250,317.250,10,2425
11/14/2000,13:20,318.000,318.000,315.500,315.500,148,2445
11/15/2000,13:20,315.000,315.000,313.500,313.500,37,2471
11/16/2000,13:20,313.750,315.000,312.500,315.000,36,2490
11/17/2000,13:20,318.500,318.500,317.000,317.000,171,2505
11/20/2000,13:20,318.000,319.000,316.500,316.500,30,2501
11/21/2000,13:20,315.500,315.500,314.000,315.500,59,2503
11/22/2000,13:20,317.000,318.000,316.500,317.500,76,2526
11/24/2000,13:20,320.000,321.500,320.000,321.000,41,2531
11/27/2000,13:20,321.500,321.500,318.500,319.000,56,2534
11/28/2000,13:20,317.000,317.500,316.000,316.500,84,2516
11/29/2000,13:20,316.000,316.500,313.000,314.000,41,2555
11/30/2000,13:20,314.000,317.500,314.000,316.750,323,2813
12/01/2000,13:20,317.500,321.000,317.000,320.000,216,2836
12/04/2000,13:20,318.500,322.000,318.500,322.000,162,2847
12/05/2000,13:20,322.000,322.000,318.500,320.500,95,2838
12/06/2000,13:20,320.000,322.000,319.500,321.000,18,2844
12/07/2000,13:20,322.000,322.000,316.000,316.000,98,2842
12/08/2000,13:20,312.500,318.000,312.500,318.000,124,2763
12/11/2000,13:20,316.500,318.000,316.500,316.500,9,2781
12/12/2000,13:20,317.500,319.000,315.000,316.000,63,2779
12/13/2000,13:20,316.000,317.000,315.500,315.500,12,2793
12/14/2000,13:20,316.000,316.000,312.000,312.500,311,2997
12/15/2000,13:20,312.500,312.500,309.750,310.750,518,3413
12/18/2000,13:20,311.000,313.000,310.500,313.000,230,3488
12/19/2000,13:20,312.500,317.000,312.500,317.000,327,3663
12/20/2000,13:20,317.000,317.500,312.500,315.250,120,3682
12/21/2000,13:20,314.500,317.000,313.000,317.000,138,3675
12/22/2000,13:20,318.500,319.500,318.500,319.500,49,3656
12/26/2000,13:20,319.000,319.000,318.500,319.000,11,3625
12/27/2000,13:20,318.000,318.000,315.500,316.000,34,3642
12/28/2000,13:20,317.000,317.500,315.750,316.000,13,3658
12/29/2000,13:20,316.000,324.000,315.500,324.000,382,3938
01/02/2001,13:20,323.000,323.000,320.000,321.000,31,3915
01/03/2001,13:20,322.000,328.000,322.000,328.000,391,4052
01/04/2001,13:20,327.500,329.500,326.500,329.500,93,4077
01/05/2001,13:20,328.000,329.000,326.500,329.000,331,4072
01/08/2001,13:20,329.000,329.000,325.000,328.000,137,4109
01/09/2001,13:20,328.000,332.000,328.000,330.500,135,4168
01/10/2001,13:20,330.000,334.000,330.000,334.000,578,4424
01/11/2001,13:20,333.000,338.500,330.000,334.750,618,4807
01/12/2001,13:20,333.500,334.500,331.500,334.000,261,4956
01/16/2001,13:20,331.000,331.500,329.750,330.500,320,5143
01/17/2001,13:20,329.500,330.250,329.000,329.000,227,5193
01/18/2001,13:20,331.000,332.250,330.500,330.750,128,5207
01/19/2001,13:20,329.500,332.500,329.000,331.500,24,5212
01/22/2001,13:20,330.500,332.000,329.000,331.500,199,5256
01/23/2001,13:20,331.500,334.000,330.500,333.000,414,5455
