state_id,year,jan,feb,mar,apr,may,jun,jul,ago,sep,oct,nov,dec
1,2001,28.62,23.18,36.75,52.51,61.09,70.1,80.01,76.37,65.57,52.29,44.3,31.38
1,2002,30.64,32.75,30.72,51.11,58.13,75.65,80.84,74.88,66.42,44.85,38,32.05
1,2003,27.27,24.99,39.76,51.41,58.74,66.98,78.98,77.58,62.12,53.97,35.29,30.75
1,2004,24.6,27.67,43.48,51.07,61.56,66.85,73.21,69.72,67.46,53.11,39.4,31.19
1,2005,23.9,34.31,40.16,51.2,58.82,71.19,77.81,73.63,68.59,52.89,41.26,25.85
1,2006,37.03,28.65,38.74,55.09,62.57,73.52,80.02,74.13,60.34,48.73,38.24,31.12
1,2007,20.82,23.32,46.56,47.54,63.14,71.16,78.58,77.7,66.52,54.42,38.91,21.35
1,2008,20.98,25.42,37.38,46.52,57.79,68.81,77.29,73.96,63.34,51.64,39.58,23.2
1,2009,26.23,31.5,38.89,47.49,60.31,68.13,72.05,70.16,64.38,43.7,43.48,19.03
1,2010,22.59,23.87,41.19,52.52,57.86,71.51,76.54,76.95,65.51,55.56,36.89,27.88
1,2011,22.27,25.09,38.88,48.84,57.51,70.2,80.17,76.56,62.54,53.92,38.45,28.32
1,2012,30.85,30.44,52.24,54.53,63.74,76.26,82.59,75.16,64.91,49.32,40.78,27.19
1,2013,25.79,30.51,36.47,43.98,60.38,70.74,76.12,76.44,69.65,49.7,36.96,21.96
1,2014,26.34,21.34,37.35,49.89,60.67,69.45,73.74,74.76,64.49,53.9,33.65,29.33
1,2015,28.36,28.03,44.7,51.71,58.75,71.97,75.41,72.87,70.15,55.94,40.28,30.29
1,2016,26.68,36.06,45.03,51.42,58.84,75.43,77.12,73.8,67.05,57.06,44.82,23.66
1,2017,25.08,35.74,43.73,51.53,59.19,72.55,79.44,71.49,67.15,51.76,41.07,26.39
1,2018,24.63,21.61,39.76,44.08,65.24,73.93,76.65,73.19,67.2,49.03,34.28,28.38
1,2019,27.59,18.17,33.15,51.1,55.83,69.68,76.59,74.05,70.39,44.83,36.3,30.63
2,2001,20.7,18.92,30.4,54.1,61.16,69.08,75.37,72.8,61.2,50.36,48.5,31.26
2,2002,30.26,30.21,33,49.09,58.01,72.94,76.52,70.85,66.49,46.73,35.4,29.74
2,2003,19.87,20.17,35.53,51.28,59.18,69.13,74.31,74.95,61.88,52.52,36.79,28.72
2,2004,18.15,24.01,40.86,51.49,62.1,67.95,70.69,66.82,66.9,51.9,40.92,27.26
2,2005,19.72,31.09,37.06,53.99,58.2,73.34,74.92,72.25,67.8,52.68,39.5,19.42
2,2006,32.98,24.73,37.14,54.14,60.99,70.47,76.45,72.41,60.68,47.9,40,32.08
2,2007,21.74,15.64,42.57,46.94,65.16,70.73,73.91,74.82,65.27,55.65,37.04,20.97
2,2008,16.79,17.22,32.42,46.76,58.05,70,73.88,70.58,63.9,51.55,37.61,17.57
2,2009,13.42,26.64,38.56,48.39,60.64,70.01,68.63,69.42,64.43,45.8,44.36,21.15
2,2010,14.16,16.47,40.38,56.06,61.39,71.79,75.58,75.17,64.15,54.69,38.75,19.53
2,2011,16.04,23.7,36.3,48.72,60.64,70.43,78.94,73.02,60.95,54.14,40.22,31.09
2,2012,26.72,30.25,52.69,52.53,66.29,73.02,81,72.17,62.68,49.48,39.65,28.77
2,2013,23.4,25.39,29.66,46.4,60.66,70.4,73.48,73.8,68.03,51.55,34.33,17.66
2,2014,13.46,12.97,31.04,48.35,61.75,71.33,70.05,73.03,62.95,51.36,30.61,28.95
2,2015,22.83,13.59,38.36,51.82,62.08,70.56,73.27,70.17,69.93,53.78,44.6,35.23
2,2016,21.18,29.43,43.28,50.92,61.16,73.91,74.17,73.65,68.75,57.08,45.8,24.13
2,2017,25.42,36.03,37.95,53,59.78,72.3,75.44,68.83,67.93,54.05,37.31,24.08
2,2018,20.25,22.83,35.44,41.34,68.51,73.95,73.61,72.87,65.75,49.09,30.86,29.81
2,2019,19.6,16.67,32.31,50.48,58.25,70.47,76.54,70.96,69.77,47.34,33.16,30.88
